Name,Description,Website,twitter
A.Capital Ventures,A.Capital Ventures is an early stage venture capital firm investing in consumer and enterprise technology companies.,www.acapital.com,
Variant Alternative Income Fund,"Variant Alternative Income Fund is a continuously-offered, non-diversified, registered closed-end fund with limited liquidity.",funds.variantinvestments.com/,
Rockaway Blockchain Fund,Traditional VC investor into digital assets. We invest globally into outstanding founders building next generation of financial services.,rbf.capital,"https://rockawayx.com/infrastructure, https://twitter.com/rockaway_x"
SOSV,"SOSV is a global VC firm with $1B AUM and 1,000+ investments, that operates HAX, IndieBio, Chinaccelerator, MOX, and dlab.",sosv.com/,https://twitter.com/sosv
Genesis One Capital,Genesis One Capital operates as a blockchain investment firm.,genesisone.capital,
Simulation Ventures,Venture Capital firm focused on AI and frontier tech,,
Visary Capital,A thesis-driven fund for the new digital ecnomy.,visary.capital,https://twitter.com/Visary_
Hex Capital,Hex Capital is an investment firm,hex.capital/,
DeFi Alliance,An accelerator helping DeFi startups source liquidity and support from a broad industry network,defialliance.co/,
Jump Capital,Jump Capital is a venture capital firm specializing in Series A and B expansion stage investments in technology and software.,www.jumpcap.com,https://twitter.com/jumpcapital
Nascent Ventures,Nascent Ventures is a venture capital investment and management firm that provides support for gig entrepreneurs and technology startups.,nascentventures.co.uk/,https://www.twitter.com/NascentVenture
Dragonfly Capital Management,The premium service starts with an in depth Technical Analysis of the Macro Markets and their influencers.,dragonflycap.com,
FTX,FTX Exchange is a cryptocurrency exchange company that develops a mobile trading platform.,ftx.com/,
Republic Capital,Republic Capital works with high net-worth individuals and family offices to syndicate investment opportunities.,www.republiclabs.co/,https://twitter.com/_rcapital_
Struck Capital Crypto,Struck Capital Crypto is a multi-strategy crypto fund based in Los Angeles.,www.struckcapitalcrypto.com,
Binance Smart Chain,Binance Smart Chain is a sovereign smart contract blockchain delivering Ethereum Virtual Machine (EVM) compatible programmability.,www.binance.org/en/accelerator,
Incuba Alpha,"Incuba Alpha is a crypto fund derived from Japan with focus on early entrepreneurs in Decentralized Finance (Defi), DAO, and Web3.",www.incuba.capital/,
Hyperchain Capital,HyperChain Capital is a digital asset management company that focuses on Blockchain-based projects and decentralized protocols.,hyperchain.capital/,https://twitter.com/hyperchainc
NEO,"NEO is a community-based non-profit block chain project, is the use of block chain technology and digital identity for digital assets...",neo.org/,"https://twitter.com/NEO_Blockchain, https://twitter.com/neo_blockchain"
Obsidian Capital,"Obsidian Capital is focused exclusively on Intelligent Blockchain, DLT projects, Digital and Crypto Assets.",obsidiancapital.fund/,
G2H2,Investing in expertly sourced initial coin offerings that undergo deep-dive technical validation and generate rapid returns.,g2h2.capital,
FinTech Collective,"FinTech Collective is a New York-based venture capital fund, focused exclusively on financial services technology companies.",www.fintech.io,https://twitter.com/fintech_io
Axia8 Ventures,Axia8 Ventures is a Shanghai-based venture capital and private equity firm.,,
Bitlink Capital,-,,
BitScale,BitScale invest in teams and solutions that bring transparency and efficiency.,bitscale.capital/,
BoxOne Ventures,BoxOne Ventures is an investment firm.,www.boxoneventures.com/,
Cumberland,Cumberland provides financial institutions and high-net-worth individuals with the access they need to capitalize on the crypto asset space.,cumberland.io/,https://twitter.com/cumberlandsays
Innovating Capital,"Innovating Capital is a premier technology fund with a focus on financial, cybersecurity, insurance, and life sciences.",innovating.capital,
K42,-,,
Krypital Group,Krypital Group is a global venture capital firm and blockchain incubator providing end to end services such as project incubation.,krypital.com/,
OK Blockchain Capital,OK Blockchain Capital provides fully-integrated blockchain services for extraordinary projects.,www.okcoin.com/capital,
Cabin VC,We are participating in the wave of digital change of blockchain technology to real society via public welfare and investing.,www.cabin.vc/,https://twitter.com/cabinvc
Binance,Binance is a cryptocurrency exchange platform that combines digital technology and finance.,www.binance.com,https://twitter.com/binance
Cadenza Capital Management,Cadenza Capital Management is an investment firm with a focus on digital finance.,cadenza.vc,https://twitter.com/CadenzaVentures
Primitive Ventures,Primitive Ventures is an international venture investment firm that invests on blockchain and cryptocurrency technologies.,primitive.ventures/,"https://twitter.com/primitivecrypto, https://twitter.com/DoveyWan"
Dragonfly Capital Partners,Dragonfly Capital Partners are investing in and supporting the most promising opportunities in the cryptoasset class.,www.dcp.capital,"https://twitter.com/dragonfly_xyz, https://twitter.com/bryanmedelman, https://twitter.com/kapursanat, https://twitter.com/MikhJones, https://twitter.com/ScottHershorin, https://twitter.com/RuneKek, https://twitter.com/hosseeb, https://twitter.com/LindsayxLin, https://twitter.com/pat_goodridge, https://twitter.com/IvanBogatyy, https://twitter.com/hildobby_, https://twitter.com/MichalUlmer_, https://twitter.com/HadickM, https://twitter.com/0xsudogm, https://twitter.com/tomhschmidt, https://twitter.com/zorkary, https://twitter.com/JessicaFurr305, https://twitter.com/ani_pai, https://twitter.com/casatay, https://twitter.com/chaselochmiller, https://twitter.com/merklejerk, https://twitter.com/kadin256, https://twitter.com/TheOneandOmsy"
Amino Capital,"Amino Capital focusing on data driven startups, and blockchain powered next generation protocols.",www.aminocapital.com,"https://twitter.com/business/status/1371542721064796165?ref_src=twsrc%5Etfw, https://twitter.com/geekwire/status/1081655570753511424?ref_src=twsrc%5Etfw, https://twitter.com/FortuneMagazine/status/1094064608493621249?ref_src=twsrc%5Etfw, https://twitter.com/hashtag/travel?src=hash&ref_src=twsrc%5Etfw, https://twitter.com/VentureBeat/status/1176270080994414596?ref_src=twsrc%5Etfw, https://twitter.com/psawers?ref_src=twsrc%5Etfw, https://twitter.com/Guesty/status/1386983835003494400?ref_src=twsrc%5Etfw, https://twitter.com/DannyCrichton?ref_src=twsrc%5Etfw, https://twitter.com/Replit/status/1650900629521596421?ref_src=twsrc%5Etfw, https://twitter.com/KateClarkTweets/status/1636793837329997824?ref_src=twsrc%5Etfw, https://twitter.com/suexuamino/status/1389980633565339650?ref_src=twsrc%5Etfw, https://twitter.com/suexuamino/status/1441564200782884868?s=21, https://twitter.com/ForbesTech/status/1504103646656704516?ref_src=twsrc%5Etfw, https://twitter.com/amino_capital/status/1661596462084669440?ref_src=twsrc%5Etfw, https://twitter.com/amino_capital, https://twitter.com/amino_capital?ref_src=twsrc%5Etfw, https://twitter.com/ingridlunden?ref_src=twsrc%5Etfw, https://twitter.com/geekwire/status/717508269804224513?ref_src=twsrc%5Etfw, https://twitter.com/amino_capital/status/1661594892513189888?ref_src=twsrc%5Etfw, https://twitter.com/Forbes/status/1659207236634431491?ref_src=twsrc%5Etfw, https://twitter.com/facebook, https://twitter.com/TechCrunch/status/1472963539279257601?ref_src=twsrc%5Etfw, https://twitter.com/Techmeme/status/1426241124344029184?ref_src=twsrc%5Etfw, https://twitter.com/TechCrunch/status/1308068122461646848?ref_src=twsrc%5Etfw, https://twitter.com/amino_capital/status/892229918385348608, https://twitter.com/ForbesTech, https://twitter.com/amino_capital/status/1389640949282709506?ref_src=twsrc%5Etfw, https://twitter.com/insidertechbiz/status/1498274351929507842?ref_src=twsrc%5Etfw"
Plasma Capital,Plasma capital is an investment firm specialising in blockchain technology and digital assets.,www.plasmacapital.net,
Caffeinated Capital,Caffeinated Capital is a San Francisco based technology investment firm founded by Raymond Tonsing.,caffeinatedcapital.com/,
Kindred Ventures,"Kindred Ventures is a seed-stage venture capital fund based in San Francisco, California.",www.kindredventures.com,
a16z crypto,a16z crypto is a venture fund that will invest in crypto companies and protocols.,a16z.com/crypto/,
Bain Capital Ventures,Bain Capital Ventures invests in seed to growth-stage startups that uses tech to disrupt existing markets or create entirely new ones.,baincapitalventures.com,https://www.twitter.com/BainCapVC
Craft Ventures,Craft Ventures is an early-stage venture fund specializing in the craft of building great companies.,craftventures.com/,https://twitter.com/craft_ventures
Vy Capital,Vy Capital is an investment firm that focuses on the internet and software industry.,www.vycapital.com,
GSR,"GSR, founded in 2013, is a global leader in digital asset trading and market making.",www.gsr.io,https://twitter.com/GSR_io
RockTree Capital,RockTree Capital is a pioneer in international merchant banking.,www.rocktreecapital.com/,
Scalar Capital,Scalar Capital is a hedge fund company specializing in cryptoassets.,scalar.capital,
Wintermute Trading,Crypto market maker focused on high-frequency algorithmic trading and market making services.,www.wintermute-trading.com/,https://twitter.com/wintermute_t
Finlink Capital,Finlink Capital is an investment firm.,,
Kronos Research,Kronos delivers superior trading performance and liquidity,kronosresearch.com,
Menai Financial Group,Menai is developing the fundamental components of markets and investment infrastructure.,menai.io/,
mgnr.io,mgnr.io is a systematic proprietary trading firm that uses innovative quantitative research and rigorous engineering.,mgnr.io/,
Sixtant,Proprietary trading and market making firm,sixtant.io,https://www.twitter.com/sixtantio
StarkWare Industries,StarkWare Industries develops a full-proof stack in generating and verifying proofs of computational integrity in the blockchain.,www.starkware.co,"https://www.okex.com/, https://twitter.com/StarkWareLtd/"
Ethereal Ventures,Ethereal Ventures a new venture fund established by Joseph Lubin.,,
Figment,"Figment supports the adoption, growth and long term success of the Web 3 ecosystem.",figment.io,https://twitter.com/Figment_io
CoinGecko,"CoinGecko provides a data platform, digital currency prices, and fundamental analysis of the cryptocurrency market.",www.coingecko.com,https://twitter.com/coingecko
TokenSuite Ventures,"TokenSuite Ventures is a blockchain incubator that focuses on investing in, developing, and marketing innovative blockchain solutions.",tokensuite.ventures/,
Collider Ventures,Collider Ventures is an early-stage venture capital blockchain & cryptocurrency fund.,www.collider.vc/,
G1 Ventures,Blockchain VC with practical approach,g1.vc/,https://twitter.com/G1_Ventures
Gnosis,Gnosis provides a decentralized platform for prediction markets.,gnosis.io/,https://twitter.com/gnosischain
Crypto.com Capital,Crypto.com Capital is a venture arm dedicated on investing in crypto startups at Seed and Series A stages.,crypto.com/capital,"https://twitter.com/Cryptocom_Cap, https://twitter.com/cryptocom, https://twitter.com/yggsea"
Fisher8 Capital,Fisher8 Capital operates as an investment firm.,www.fisher8.capital/,
Harvest Finance,Harvest Finance automatically farms the highest yields in DeFi.,harvest.finance/,https://twitter.com/harvest_finance
imToken,imToken is the world’s largest Ethereum digital asset wallet.,token.im/,https://twitter.com/imTokenOfficial
LedgerPrime,LedgerPrime is a Digital Asset Investment Firm,www.ledgerprime.com/,
Origin Capital,Origin Capital provides a real alternative to traditional funding options in the Irish commercial real estate market.,www.origincapital.ie/,
Parataxis Capital,Parataxis Capital is a multi-strategy investment firm focused on the digital asset sector,www.parataxis.io/,
Signum Capital,Signum Capital is a Singapore-based firm that exclusively consults in Blockchain-enabled companies.,www.signum.capital/,https://twitter.com/Signum_Capital
Sora Ventures,Sora Ventures is Asia's leading investment capital firm dedicated to blockchain technology and digital asset.,www.sora.vc/,
Strategic Round Capital,Strategic Round Capital invests in early-stage blockchain projects.,www.src.capital/,
Youbi Capital,Youbi Capital is a venture capital firm investing in Blockchain technologies and disruptive decentralized business applications.,www.youbicapital.com,https://twitter.com/youbicapital
TRGC,TRGC is a digital asset fund focused on investment opportunities that will spark the internet’s next paradigm shift.,trgc.io/,https://twitter.com/trgcapi
Standard Crypto,Standard Crypto is an investment firm.,standardcrypto.vc/,
Alpha Sigma Capital,Alpha Sigma Capital is a hedge fund management firm investing in technology companies that are leveraging blockchain technology.,alphasigma.fund/,https://twitter.com/enzovillani727
Tether,"Tether Holdings operates a platform to store, send, and receive local currency person to person globally.",tether.to,
tokentus investment AG,Venture capital investor for blockchain based business models.,tokentus.com/,
Caisse de Depot et Placement du Quebec,Caisse de Depot et Placement du Quebec is a Canadian fund management company focused on retirement plans and insurance policies.,www.cdpq.com/,https://twitter.com/LaCDPQ
WestCap,"WestCap is an early growth-oriented investment firm that specializes in the fields of e-commerce, mobile payments, and private markets.",www.westcap.com/,"https://services.sungarddx.com/Document/2946051, https://services.sungarddx.com/LogOn/2946051?redirectUrl=%2FDocument%2F2946051"
Scanate,Scanate is a vertical agnostic fund that invests off its balance sheet.,scanate.co/,
Walden Bridge Capital,Walden Bridge Capital,,
Wyre Capital,"Wyre Capital invests in digital assets and projects driving the decentralization of finance, applications, and the web.",sendwyre.com,
Bloccelerate,Bloccelerate is a global accelerator and a fund focused on investing in blockchain companies all over the world.,www.bloccelerate.vc/,https://twitter.com/bloccelerate
Compound,Compound is a venture capital firm that invests in bleeding-edge technology built by outliers.,compound.vc/,"https://twitter.com/compoundarxiv, https://twitter.com/compoundvc"
South Park Commons,"South Park Commons brings together talented people to share ideas, explore directions, and realize the opportunities that’ll get you there.",www.southparkcommons.com,https://twitter.com/southpkcommons
Transmedia Capital,Transmedia Capital is one of the leading micro funds in Silicon Valley.,www.transmediacapital.com,"https://www.sfox.com/blog/announcing-the-sfox-crypto-dark-pool/?utm_source=DarkPoolBlog&utm_medium=Blog&utm_campaign=Dark%20Poo, https://www.sfox.com/, https://twitter.com/ChrisRedlitz, https://twitter.com/peterboboff"
Genesis Capital,"Genesis Capital is the largest institutional digital asset lender, including over $10B in 2020 YTD.",,
Nascent Ventures,Nascent Ventures is a venture capital investment and management firm that provides support for gig entrepreneurs and technology startups.,nascentventures.co.uk/,https://www.twitter.com/NascentVenture
2020 Ventures,"2020 Ventures is a privately-held fund-investing company for startups operating in technology, media, retail, and finance industries.",2020.co,
Coil,Coil specializes in providing web content monetization solutions.,coil.com/,
Hard Yaka,"Fund investing in teams that revolutionize exchanges between seekers and providers of goods, services, and information.",hardyaka.com/,https://twitter.com/_hardyaka
Xpring,Xpring is a Ripple initiative that builds infrastructure,xpring.co/,
Tomahawk.VC,Entrepreneur-led early stage venture capital firm,www.tomahawk.vc/,"https://twitter.com/cediwaldburger, https://twitter.com/tomahawk_vc, https://twitter.com/DepartureLabs"
AngelDAO,AngelDAO operates as a decentralized autonomous organization.,angeldao.org/,
Greenfield One,Greenfield One is an early-stage crypto and blockchain venture capital firm.,www.greenfield.one/,https://twitter.com/greenfield_cap
CMB International Capital Corporation,CMB International Capital Corporation offers comprehensive professional services and financial advisory services.,www.cmbi.com.hk/cmbisc/index.aspx,
Signal Ventures,"Hedge Fund, Venture Capital",signal.vc,
Handshake,"Handshake is a decentralized, permissionless naming protocol compatible.",handshake.org/,https://twitter.com/hns
SparkLabs Korea,"SparkLabs Korea is a startup accelerator with a focus on companies from the Internet, mobile, e-commerce, and digital media sectors.",sparklabs.co.kr/lb/index.php,
3Commas,"3Commas provides a platform for cryptocurrency investors to trade with minimal risks, limit losses, and increase profits.",3commas.io,https://twitter.com/3commas_io
One Block Capital,One Block Capital is a leading blockchain investment & advisory group based in Hong Kong.,oneblockcapital.com,
Raydium,"Raydium provides on-chain liquidity to a central limit order book, meaning that pools have access to all order flow and liquidity on Serum.",raydium.io/,https://twitter.com/RaydiumProtocol
Solidity Ventures,Solidity Ventures is a venture capital firm investing in DeFi primitives and key infrastructure for layer-1 blockchain platforms.,www.solidity.ventures/,
Dunamu & Partners,"Dunamu & Partners is the investment arm of Dunamu, primarily investing in blockchain&fintech, data&AI, and consumer services sectors.",dunamupartners.com/,
SeaX Ventures,Southeast Asia Exponential Ventures is a venture capital firm investing globally in early-stage companies,,
Sequoia Capital India,"Sequoia Capital India is a venture capital firm that invests in consumer, technology, and healthcare.",www.sequoiacap.com/india/,
Woodstock,Woodstock is an investment firm.,,
MakerDAO,Maker is a decentralized autonomous organization on the Ethereum blockchain.,makerdao.com/,
dlab,dlab is a startup accelerator and venture studio run by SOSV that explores new topics in decentralization and blockchain technology.,dlab.vc,"http://verifoxx.com/, https://twitter.com/dlabvc"
Emurgo,"Emurgo develops, support, and incubate commercial ventures on Cardano.",www.emurgo.io/,https://twitter.com/emurgo_io
Raystone Capital,Raystone Capital is an asset management company.,www.raystonecapital.com/,
Outlier Ventures Base Camp,Outlier Ventures Base Camp finances and provides a launch pad for pre-seed projects.,outlierventures.io/base-camp/,https://twitter.com/oviohq
Jun Capital,Jun Capital provides an investment management service.,en.zhijuncapital.com/,
Megala Ventures,Megala Ventures is an institutional investor of Blockchain and distributed ledger technologies.,megala.ventures/,
BitBlock Capital,"BitBlock is a blockchain investment, consulting and service corporation.",www.bitblockcap.com/,https://twitter.com/BitBlockGroup
Bixin Ventures,Bixin Ventures devotes to discover promising projects in the Blockchain revolution and to grow them fast.,bixincapital.com,
BTC12 Capital,BTC12 Capital is a blockchain investment fund.,btc12.com/,http://twitter.com/hawkhost
Spark Digital Capital,Spark Digital Capital is a family office that invests in blockchain enabled companies.,sparkdigitalcapital.com/,https://twitter.com/capital_spark
ZMT Capital,"Technology driven investment firm focused on Fintech, Mobile, Hardware, AI, Blockchain and Cryptocurrencies",www.zmtcapital.com,
Animoca Brands,Animoca Brands develops and publishes mobile games and products based on popular intellectual property.,www.animocabrands.com,https://twitter.com/animocabrands
500 Startups Vietnam,500 Startups Vietnam is a tech focused seed stage investor,vietnam.500.co/,https://twitter.com/500GlobalVC
ConsenSys,"ConsenSys develops enterprise applications, invests in startups, builds developer tools, and offers blockchain education.",www.consensys.net,https://twitter.com/consensys
Pangea Blockchain Fund,Pangea Blockchain Fund offers intellectual and financial capital to early-stage blockchain companies from around the world,www.pangeablockchain.ch,https://mobile.twitter.com/pangeafund
Cluster Capital,"Cluster Capital is a global network of crypto investors, media influencers, and entrepreneurs.",www.cluster.vc/,"https://twitter.com/matthewegould, https://twitter.com/winslow_strong, https://twitter.com/SHERM8N, https://twitter.com/ClusterCap"
Metaverse Ventures,Metaverse Ventures invests in companies that are building products and services for Decentraland and the decentralized metaverse.,metaverseventures.co/,https://twitter.com/Metaverse_VC/
Ascensive Assets,Ascensive Asset is a private investment firm focusing solely on digital assets industry,ascensiveassets.com/,https://twitter.com/ascensiveasset
Flamingo DAO,"Flamingo DAO is an NFT-focused DAO that aims to explore emerging investment opportunities for ownable, blockchain-based assets.",flamingodao.xyz/,
SevenX Ventures,SevenX Ventures provides insights and operational expertise to help blockchain startups in growing.,www.7xvc.com/,"https://twitter.com/Ruisnakes, https://twitter.com/SevenXVentures, https://twitter.com/LavenjerY, https://twitter.com/Hill79025920, https://twitter.com/Louissongyz, https://twitter.com/jonbit3, https://twitter.com/losteraser, https://twitter.com/LukeWasm, https://twitter.com/yuxiao_deng, https://twitter.com/linsajiao, https://twitter.com/junochen417, https://twitter.com/JianZhangJJ, https://twitter.com/FC_0X0"
Sparq Ventures,-,,
BITKRAFT Ventures,"BITKRAFT Ventures is an early-stage investment platform for gaming, esports, and interactive media.",www.bitkraft.vc,https://twitter.com/BitkraftVC
Third Prime,"FinTech, PropTech, and Crypto sectors. We invest in world-class entrepreneurs and support them over the long haul.",www.thirdprime.vc,https://twitter.com/thirdprimevc
Atelier Ventures,Atelier Ventures is an early-stage venture firm investing in the Passion Economy.,www.atelierventures.co/,https://twitter.com/ljin18
Infinity Ventures Crypto,Infinity Ventures Crypto invests in future of intelligent protocols.,www.ivcrypto.io/,
Kingsway Capital,Kingsway Capital is a investment management firm.,www.kingswaycap.com/,
AngelHub,AngelHub is the only SFC-regulated tech investment platform that enables investors to co-invest on a deal by deal basis,angelhub.io/,
Mindfulness Capital,Embrace changes mindfully,mindfulnesscap.com/,"https://twitter.com/MindfulnessCap/status/1647444891360952320, https://twitter.com/MindfulnessCap, https://twitter.com/buzhidao_tw/status/1597606856133906435"
Square Enix,"Square Enix develops, publishes, and markets interactive entertainment titles worldwide.",www.jp.square-enix.com/,"https://www.jp.square-enix.com/recruit/, https://www.jp.square-enix.com/column/, https://www.jp.square-enix.com/company/ja/, http://blog.jp.square-enix.com/music/cm_blog/, https://www.jp.square-enix.com/cafe/, https://magazine.jp.square-enix.com/bliss/, https://magazine.jp.square-enix.com/gangan/, http://blog.square-enix.com/magazine/business/, https://magazine.jp.square-enix.com/mangaup/, https://www.jp.square-enix.com/presents/, https://magazine.jp.square-enix.com/yg/, https://store.jp.square-enix.com/, https://magazine.jp.square-enix.com/biggangan/, https://www.jp.square-enix.com/saga_portal/, https://magazine.jp.square-enix.com/gamebooks/, https://support.jp.square-enix.com/?n=5, https://www.jp.square-enix.com/cafe/tokyo/, https://magazine.jp.square-enix.com/top/, https://magazine.jp.square-enix.com/joker/, https://member.jp.square-enix.com/, https://www.jp.square-enix.com/goods/, https://www.jp.square-enix.com/eternalsphere/, https://magazine.jp.square-enix.com/gfantasy/, https://www.jp.square-enix.com/pcgamehub/, https://www.jp.square-enix.com/kingdom/, http://www.jp.square-enix.com/artnia/, https://magazine.jp.square-enix.com/top/anime/, https://www.square-enix.com/, https://www.jp.square-enix.com/music/, https://magazine.jp.square-enix.com/sqexnovel/"
True Global Ventures (TGV),"True Global Ventures invests in early-stage companies involved in internet, software and mobile technologies.",www.tgv4plus.com,https://twitter.com/trueglobalvcs
Blue Pool Capital,Blue Pool Capital is a Hong Kong based alternative asset manager licensed by the Hong Kong.,www.bluepoolcapital.com,
Galaxy Interactive,Galaxy Interactive is a venture capital firm focused on interactive content and technology companies.,galaxyinteractive.io,
Liberty City Ventures,"Liberty City Ventures invest in startups that are innovating at the cross-sections of technology, media and commerce.",libertycityventures.com,http://www.twitter.com/LCVentures
SoftBank,"SoftBank provides fixed-line, mobile telephony, internet, telecommunications, and digital television products.",global.softbank,https://twitter.com/softbank_group
Sterling.VC,"Sterling.VC is a sports, media and real estate VC fund supported by Sterling Equities, the principal owner of the Mets, SNY, and OverwatchNY",www.sterling.vc,
3Commas,"3Commas provides a platform for cryptocurrency investors to trade with minimal risks, limit losses, and increase profits.",3commas.io,https://twitter.com/3commas_io
Hillrise Ventures,Private investment arm of Hillrise Group. Supporting ambitious Web3 startups with early-stage venture capital.,ventures.hillrise.group,https://twitter.com/hillrisegroup
LD Capital,LD Capital is an VC investors in the blockchain field in Asia.,ldcap.com/,
LongLing Capital,LongLing Capital is an investment Firm.,www.longling.com/,
Momentum 6,Momentum 6 architect momentum for crypto and blockchain projects.,momentum6.com/,https://twitter.com/momentum_6
Moonwhale Ventures,Moonwhale Ventures is providing STO advisory to existing businesses and startups.,moonwhale.io/,
X21 Digital,"X21 Digital incubate, advise, fund & support blockchain projects towards sustainable success.",x21digital.com/,"https://twitter.com/X21_Digital, https://scallopx.com/"
MiH Ventures,MiH Ventures is an investment vehicle with a focus on emerging digital assets and blockchain technology.,www.mih.vc/,https://twitter.com/mihventures
Authorito Capital,Authorito is an actively managed open-ended crypto fund.,authorito.com/,
NGC Partners,NGC Partners is an investment and asset management firm focused on the clean energy sector.,www.ngcpartners.com/,
Bibox Fund,-,,
Elysium Venture Capital,Elysium Venture Capital is an investment management group focused on global technology opportunities.,ely.vc,
JRR Group,"VC, Consulting, Acceleration of FinTech and Blockchain Startups",www.jrr.group,
Link VC,LinkVC committed to serving outstanding companies and developers in the field of blockchain.,www.linkvc.com/,http://www.digifinex.com/
Nirvana Venture Advisors,Nirvana Venture Advisors invests in early-­stage and market leading companies in the fast growing Indian internet and mobile segments.,www.nirvanaventures.in,
Aspect Ventures,Aspect Ventures is a venture capital firm investing in the emerging mobile marketplace.,www.aspectventures.com,https://twitter.com/aspectvc?lang=en
Canaan Partners,Canaan is an early-stage venture capital firm that invests in visionaries with transformative ideas.,www.canaan.com,https://twitter.com/canaanpartners
Floodgate,"Floodgate caters to digital businesses with early, seed, and later stage venture, and debt financing investments.",www.floodgate.com,https://twitter.com/floodgatefund?lang=en
Hack VC,Hack VC is a venture capital firm investing in early-stage startups.,hack-vc.com,
MW Partners Group,MW Partners is a private investment firm focused exclusively on blockchain-enabled projects.,mwpartners.io,
Oyster Ventures,Oyster Ventures is a venture capital firm investing in exceptional new-frontier technology companies.,oyster.vc,
Signia Venture Partners,Signia Venture Partners is an early stage fund helping passionate entrepreneurs build impactful world-changing companies.,signiaventurepartners.com/,
Wavemaker Genesis,Wavemaker Genesis brings an early stage venture model to the crypto economy.,www.wavegp.com/,"https://news.bloombergtax.com/daily-tax-report/the-need-for-clarity-in-crypto-taxable-events, https://twitter.com/wavedigital_"
Recruit Holdings,Recruit Holdings is a Tokyo-based company that specializes in HR and recruitment services.,recruit-holdings.com/,
Consensus Lab,Empower inspiring projects in blockchain,www.consensus-lab.com,
Papership Capital,PaperShip Capital Pioneers In The Crypto Investment World. PaperShip Capital is an Intelligent’s way of investing in Internet Money.,www.papership.capital,
AscendEX,AscendEX is global operator of digital asset exchanges for diverse groups of clients from retail to institutions.,ascendex.com/,"https://twitter.com/AscendEX_Russia, https://twitter.com/Leveraged_Token, https://twitter.com/AscendEX_NFT, https://twitter.com/FrAscendex, https://twitter.com/AscendEX_Korea, https://twitter.com/AscendEX_ID?s=20&t=dyOB7E1ke2vH287-dGbitw, https://twitter.com/AscendEX_CA, https://twitter.com/AscendArgentina, https://twitter.com/AscendEX_India, https://twitter.com/AscendEX_zh, https://twitter.com/AscendEX_Spain, https://twitter.com/AscendEX_Turkey, https://twitter.com/AscendEX_, https://twitter.com/AscendEXJapan, https://twitter.com/AscendEXMiddle"
Bixin,Social networking app for game players based in Shanghai.,,
Focus Labs,-,focuslabs.io,"twitter.com/FocusNft, https://twitter.com/fcslabs"
Bamboo Sea Ventures,"Angel investment firm, consulting and corporate services provider",www.bamboosea.vc,
Nodex Capital,Nodex Capital was founded by Singaporean partners experienced in entrepreneurship and capital markets,,
Zeroth.AI,Zeroth is an accelerator for early-stage start-ups in artificial intelligence & machine learning companies in Asia.,www.zeroth.ai/,
Yes VC,A San Francisco-based pre-seed and seed-stage firm.,yes.vc/,https://twitter.com/yesvc
Firestartr,Firestartr helps the most promising digital entrepreneurs take their companies from seed stage to Series A and beyond.,www.firestartr.co,"https://twitter.com/firestartrco, https://twitter.com/ahansjee?lang=en, https://twitter.com/AxelWehr, https://twitter.com/richardmuirhead?lang=en, https://twitter.com/chipper_b?lang=en, https://twitter.com/AlainFalys?lang=en"
Haitao Capital,Haitao Capital is a first China-macro driven early stage venture fund.,www.haitaocapital.com/,
Struck Capital,Founder-First Capital for Innovative Entrepreneurs who want to Change the World.,www.struckcapital.com,https://twitter.com/StruckCrypto
Threshold,Threshold is an early-stage venture capital firm that focuses on conviction investment strategy.,threshold.vc,"https://services.sungarddx.com, https://twitter.com/thresholdvc"
Base Ventures,Base Ventures is a company investing in seed-stage technology companies.,base.ventures,https://twitter.com/basevc
Fusion Fund,"Fusion Fund invests in early stage companies with technological and data advantages in industrial, enterprise, and healthcare applications.",fusionfund.com/,https://twitter.com/FusionFundVC
Mission and Market,"Mission and Market is a micro-venture capital firm focused on seed investments in many areas, including big data, software-powered biotech.",m14t.com/,
Y Combinator,Y Combinator is a startup accelerator that invests in a wide range of startups twice a year.,www.ycombinator.com,https://twitter.com/ycombinator
Creative Destruction Lab (CDL),"CDL is a nonprofit that delivers an objectives-based program for massively scalable, seed-stage, science, and technology-based companies.",www.creativedestructionlab.com/,https://twitter.com/creativedlab
Satoshi Fund,Satoshi Fund is the securest way to invest in Blockchain Assets.,satoshi.fund/,
BitFury Capital,BitFury’s investment arm which supports the growth of the Bitcoin ecosystem through strategic partnerships and business opportunities.,bitfurycapital.com/,
Bitmain,Bitmain is a design and manufacture of high performance computing chips and software.,www.bitmain.com,
Coefficient Ventures,Coefficient Ventures is an asset management firm that specializes in blockchain technology investments.,www.coefficientventures.com,https://twitter.com/coefficientvc
Notation Capital,Notation Capital is a pre-seed venture capital firm that work with technical founding teams.,notation.vc,https://twitter.com/NotationCapital
Y Combinator Continuity Fund,Y Combinator Continuity is an investment fund dedicated to supporting founders as they scale their companies.,www.ycombinator.com/continuity/,
Daedalus Angel Syndicate,Daedalus Angel Syndicate is a blockchain-focused angel collective.,,
Double Peak Group,"Family Office, Venture Capital, Digital Assets, Cryptocurrency",doublepeak.io,https://twitter.com/DoublePeakGroup
Faculty Capital,Faculty Capital is a value-driven venture capital firm.,www.facultycapital.com/,
Impossible Finance,Impossible Finance uses decentralised financial protocols to give everyone the same access to financial products.,impossible.finance/,https://twitter.com/ImpossibleFi
Collective Ventures,Moving financial inclusion forward.,collective-ventures.org,
CoinUnited,CoinUnited aims to popularize and promote the development and application of cryptocurrency in Hong Kong and Asia.,www.coinunited.io/,
